GENESIS-Tabelle: 12411-0018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.12.2019;5316;Leverkusen, kreisfreie Stadt;2482;2460;3180;3969;2571;1693;4519;4975;5075;4922;4761;5257;6979;6753;5164;6927;8089;2384;2328;2946;3660;2307;1522;4078;4821;4991;5115;5003;5372;6924;6605;5446;8459;11992
31.12.2019;5334;Städteregion Aachen, Landkreis;7642;7555;9418;12024;7722;7541;27450;25565;19586;16469;14397;16042;21389;21190;17776;25447;24254;7460;7138;8714;11308;7260;6060;19584;19454;16987;15785;14751;16496;21407;20832;18179;28880;35264
31.12.2019;5354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2019;5358;Düren, Landkreis;4014;3889;4853;6414;3944;2977;8176;8373;8273;7808;7303;8298;11093;11117;9503;13631;11699;3674;3642;4581;5787;3721;2619;6784;7354;7750;7636;7374;8378;11210;11247;9932;14919;16665
31.12.2019;5362;Rhein-Erft-Kreis;7173;7501;8989;11349;7029;4976;13187;13146;13827;14144;13966;15114;20151;19244;15633;22734;21892;6864;6802;8562;10683;6615;4669;11665;12335;13802;14850;14695;15772;20482;19700;16247;26528;30289
31.12.2019;5366;Euskirchen, Landkreis;2705;2740;3551;4520;2996;2126;5253;5385;5621;5559;5361;6024;8404;8719;7244;10444;8885;2767;2672;3278;4396;2808;1924;4680;4911;5447;5578;5522;6204;8608;8859;7318;10899;12248
31.12.2019;5370;Heinsberg, Landkreis;3725;3703;4632;6137;4061;2988;7202;7468;7706;7494;7224;7997;11040;11398;9434;13216;11081;3496;3500;4484;5673;3701;2565;6187;6721;7447;7597;7418;8499;11046;11401;9539;13736;16039
31.12.2019;5374;Oberbergischer Kreis;4105;4108;5235;6531;4369;3096;8089;8050;7943;7948;7516;8115;11483;11699;9841;13071;12643;3974;3902;4930;6410;4151;2897;6772;6967;7533;8033;7677;8523;11907;11752;10031;14249;18507
31.12.2019;5378;Rheinisch-Bergischer Kreis;3892;4076;5377;6818;4494;3030;7315;6849;7218;7745;7697;8955;12457;12445;10054;13588;15346;3656;3913;4889;6393;4139;2728;6202;6529;7626;8367;8241;9528;13317;12727;10302;15881;21477
31.12.2019;5382;Rhein-Sieg-Kreis;8796;9305;11942;15158;9640;6819;16870;16694;17047;17683;16600;18513;25911;25233;20415;28980;28794;8215;8511;10958;14097;8902;6082;14778;15425;16705;18338;18062;19812;26360;26150;21700;32876;39393
31.12.2019;5512;Bottrop, kreisfreie Stadt;1637;1658;2037;2554;1667;1224;3290;3425;3646;3457;3421;3751;4909;4849;4385;6085;5193;1539;1518;1827;2463;1612;1127;2854;3247;3549;3516;3331;3770;5044;5048;4624;7012;8296
31.12.2019;5513;Gelsenkirchen, kreisfreie Stadt;4230;4112;5081;6608;4102;2914;7996;8909;8678;7871;7718;8513;10360;10051;8817;12335;10737;4122;3879;4721;5959;3635;2643;7112;7881;7920;7644;7442;8263;9721;9923;8957;13886;16905
31.12.2019;5515;Münster, kreisfreie Stadt;4498;4379;5213;6506;3804;3435;13764;14987;13003;10702;8825;8914;10946;10388;8599;11771;11496;4327;3993;4997;5868;3616;3982;17796;15924;12494;10422;8864;9018;11261;11046;9180;13253;18022
31.12.2019;5554;Borken, Landkreis;5977;5684;7266;9668;6317;4501;11627;11959;11540;11026;10635;12138;16687;16106;12452;17128;14854;5587;5491;7095;9091;6031;3885;9738;10802;10889;10882;10540;12025;16043;15603;12557;17982;21533
31.12.2019;5558;Coesfeld, Landkreis;3326;3311;4139;5388;3570;2643;6453;6129;6254;6323;6183;7007;9764;9590;8066;11304;9386;3147;3271;3785;5050;3367;2332;5339;5385;5985;6392;6243;7223;9970;9884;8493;11904;13980
31.12.2019;5562;Recklinghausen, Landkreis;8756;8747;10931;13935;9062;6479;16787;17220;17585;17409;17332;19561;25825;25724;22665;32550;28685;8326;8235;10196;13035;8441;5949;14814;16106;17264;17667;17573;20232;26094;26226;24208;36791;43727
31.12.2019;5566;Steinfurt, Landkreis;6994;6968;8788;11453;7430;5561;14032;13524;13393;13359;12762;14557;19780;19050;15280;21024;18923;6673;6409;8220;10751;7118;5021;11843;11821;12563;12858;12641;14943;19831;19151;15390;22263;27846
31.12.2019;5570;Warendorf, Landkreis;4055;4163;5358;6985;4696;3329;8116;7800;8130;8121;7820;9100;12146;11610;9690;13576;12513;3837;3968;4957;6652;4500;3090;6852;6856;7643;7938;8151;9244;11853;11774;9983;14872;18462
31.12.2019;5711;Bielefeld, kreisfreie Stadt;5200;4943;6307;8039;5051;3763;11133;12244;11787;10478;9499;10382;12547;11873;9627;13650;14570;4984;4748;6032;7625;4641;3731;12195;12470;11886;10791;9889;10617;12279;12191;10532;16135;22356
31.12.2019;5754;Gütersloh, Landkreis;5669;5603;7014;9338;6086;4469;11253;11489;11787;11290;10760;12263;15945;15180;12188;16103;15778;5340;5337;6802;8628;5689;3913;9570;9845;10551;10941;10851;12375;15495;14986;12127;17493;22780
31.12.2019;5758;Herford, Landkreis;3643;3653;4702;6138;3878;2824;7076;7015;7396;7263;7172;7992;10617;10575;8849;12084;12156;3382;3493;4394;5761;3729;2509;6160;6492;6996;7387;7229;8245;10525;10705;8930;13318;18290
31.12.2019;5762;Höxter, Landkreis;1925;1898;2509;3466;2311;1621;4154;3962;4042;3874;3806;4254;6095;6200;5411;7503;6833;1727;1846;2357;3298;2177;1453;3244;3395;3630;3686;3738;4484;5994;6133;5310;7837;10078
31.12.2019;5766;Lippe, Landkreis;5267;5345;6957;8865;5715;3928;10090;10134;10247;9738;9095;10410;14028;14154;12287;17010;17258;4990;4985;6483;8536;5183;3730;8918;8955;9591;9617;9480;10705;14337;14474;12541;19068;25393
31.12.2019;5770;Minden-Lübbecke, Landkreis;4635;4758;5880;7859;5034;3516;9114;9260;9363;8811;8314;9752;12766;13052;11022;15140;14968;4236;4393;5654;7358;4620;3299;7832;8083;8511;8580;8433;9959;12870;13270;11453;16448;22166
31.12.2019;5774;Paderborn, Landkreis;4759;4830;5903;7578;4888;3807;11335;11961;11177;10091;8993;9423;12083;11944;10347;13470;11543;4476;4528;5677;7129;4461;3520;10132;10125;10122;9307;8955;9699;11689;11877;10472;14441;17097
31.12.2019;5911;Bochum, kreisfreie Stadt;5048;4772;5961;7476;4620;3709;12537;14498;13488;11776;9887;10762;13980;13593;12040;17529;16455;4742;4635;5492;6787;4314;3608;12177;13333;12583;11381;9955;10740;13948;13887;12825;20552;26497
31.12.2019;5913;Dortmund, kreisfreie Stadt;8988;8652;10307;13040;8319;6245;19993;22866;21197;19213;17079;18581;23182;21675;18190;26434;25378;8542;8373;10155;12560;7650;5605;18191;20654;19934;18768;17499;18472;22485;21859;19010;30652;38502
31.12.2019;5914;Hagen, kreisfreie Stadt;3029;2878;3580;4537;2936;2120;5491;5971;5961;5667;5221;5711;7543;7570;6249;8874;8876;2802;2714;3382;4317;2791;1929;5103;5546;5505;5286;5282;5897;7588;7566;6486;10333;13945
31.12.2019;5915;Hamm, kreisfreie Stadt;2604;2652;3419;4596;2833;2193;5903;5882;5721;5499;5609;5845;6978;6835;5719;8398;7868;2570;2581;3295;4187;2719;1974;5289;5237;5346;5447;5446;5873;6938;6758;6222;9778;11702
31.12.2019;5916;Herne, kreisfreie Stadt;2261;2211;2795;3521;2278;1819;4805;5157;5041;4715;4611;5393;6360;6349;5090;7494;6895;2215;2103;2628;3284;2166;1693;4384;4793;4550;4555;4459;5186;6099;6138;5526;8823;11052
31.12.2019;5954;Ennepe-Ruhr-Kreis;4494;4475;5481;6905;4447;3207;8740;9396;9433;9373;8574;9866;14034;13922;11700;16902;16446;4288;4218;5221;6528;4153;2909;7907;8870;9166;9240;8938;10278;14525;14194;12226;19384;24666
31.12.2019;5958;Hochsauerlandkreis;3523;3432;4513;6255;4207;2979;7657;8110;7849;7342;6929;8642;11511;11463;9670;13331;12306;3293;3432;4246;5803;3946;2572;6096;6695;7111;7128;7143;8408;11088;11146;9632;13885;18434
31.12.2019;5962;Märkischer Kreis;5880;5943;7510;9875;6364;4564;11583;12230;12276;11614;11084;12650;17986;18028;14640;19968;19780;5512;5545;6950;9323;5961;4109;9937;11030;11437;11571;11552;13259;17902;17805;14880;22473;29001
31.12.2019;5966;Olpe, Landkreis;1933;1998;2514;3330;2154;1599;4014;4116;3971;4036;3850;4394;6149;5890;4868;6575;5755;1830;1811;2286;2975;2019;1384;3248;3682;3901;3917;3874;4380;5803;5779;4763;6678;8479
31.12.2019;5970;Siegen-Wittgenstein, Landkreis;4113;3978;5051;6287;4049;2939;9161;9698;9024;8210;7653;8424;11312;11397;9623;13812;12860;3950;3718;4645;5809;3728;2802;8666;8445;8277;8015;7495;8274;10868;11185;9824;15191;18461
31.12.2019;5974;Soest, Landkreis;4344;4342;5662;7459;4802;3468;9029;9056;9189;8942;8662;9807;12967;12897;10743;14762;13751;4095;4151;5116;6878;4604;3024;7180;7829;8359;8818;8555;9906;12948;12847;10982;16280;20331
31.12.2019;5978;Unna, Landkreis;5524;5574;6961;9209;5870;4276;10917;11159;11327;11348;11333;12401;16474;16692;14238;20389;18659;5373;5248;6581;8608;5525;3757;9733;10028;11037;11218;11510;12900;16991;17047;15280;23234;28470
31.12.2019;6411;Darmstadt, kreisfreie Stadt;2493;2233;2848;3520;1985;1868;8647;9146;7386;5402;4498;4688;5583;5107;4204;5887;5944;2371;2232;2777;3265;1874;1571;6379;7236;5974;5128;4584;4482;5250;5176;4355;7110;8675
31.12.2019;6412;Frankfurt am Main, kreisfreie Stadt;13274;11990;14342;16881;9557;6663;22181;31828;35785;32196;28402;27478;30161;25328;18871;27457;24408;12600;11592;13970;16223;8959;6324;23010;33930;36420;32498;27902;25685;27104;23891;19312;31469;35689
31.12.2019;6413;Offenbach am Main, kreisfreie Stadt;2412;2140;2679;3241;1973;1273;4154;5156;5459;4909;4451;4424;4949;4594;3511;4868;4410;2284;2124;2537;3117;1785;1221;4044;5236;5481;4866;4412;4116;4612;4260;3555;5629;6398
31.12.2019;6414;Wiesbaden, kreisfreie Stadt;4663;4559;5315;6900;4091;2894;8379;8776;8934;8666;8426;8886;10882;9974;7897;11560;12302;4451;4280;5144;6491;3810;2698;8671;9317;9599;9888;9402;9555;11068;10346;8611;14108;17931
31.12.2019;6431;Bergstraße, Landkreis;3888;3765;4866;6074;4009;2718;7554;7594;8202;8118;7730;8524;11688;11936;9791;14120;13031;3757;3720;4639;5662;3612;2563;6173;6887;7643;7969;7825;8911;11909;11953;9892;15609;18008
31.12.2019;6432;Darmstadt-Dieburg, Landkreis;4356;4596;5769;7006;4399;3302;8800;8805;8985;9074;9106;9687;13096;12609;10022;14874;13560;4235;4376;5414;6726;4251;2917;7276;7707;8506;9293;9189;9883;13052;12527;10349;16254;17843
31.12.2019;6433;Groß-Gerau, Landkreis;4549;4596;5449;6658;4140;3051;8501;8974;9499;9485;9036;9497;11647;10868;8264;12094;11775;4278;4210;5244;6454;3754;2704;7373;8177;9047;9179;9049;8875;11039;10352;8451;13630;15827
31.12.2019;6434;Hochtaunuskreis;3323;3594;4952;6339;3888;2527;6012;5663;5956;6563;7222;8214;10506;9541;7257;11034;12552;3069;3383;4705;5949;3596;2161;5067;5264;5922;7273;7908;8855;10617;9933;7848;12745;17476
31.12.2019;6435;Main-Kinzig-Kreis;6208;6303;7783;9959;6143;4524;12008;12377;12900;12890;12712;13914;17689;17250;14173;20943;19657;5827;5796;7280;9468;5925;4106;10300;11374;12574;12880;12873;14310;17817;17221;14612;23816;26940
31.12.2019;6436;Main-Taunus-Kreis;3539;3707;5006;6305;3787;2445;6176;6026;6917;7575;7674;8352;10554;9436;6993;10523;11805;3412;3624;4579;5938;3483;2169;5211;5885;6847;8208;8007;8579;10527;9483;7521;12362;15903
31.12.2019;6437;Odenwaldkreis;1340;1311;1620;2112;1419;1059;2623;2763;2819;2660;2641;3105;4019;4186;3689;5600;4889;1155;1212;1600;2115;1322;966;2213;2478;2600;2643;2729;3181;4035;4202;3732;5866;6799
31.12.2019;6438;Offenbach, Landkreis;5567;5618;6895;8816;5387;3751;9962;10236;11195;11390;11110;12052;14753;13968;11241;16675;16763;5292;5257;6468;8169;4836;3365;8679;9804;10877;11754;11541;11843;14701;14015;11578;19271;22984
31.12.2019;6439;Rheingau-Taunus-Kreis;2494;2642;3321;4471;2922;1896;5244;4871;4986;5316;5243;6138;8515;7974;6486;9791;9715;2360;2447;3141;4209;2638;1853;4377;4383;4755;5570;5680;6402;8535;8133;6798;10973;12881
31.12.2019;6440;Wetteraukreis;4385;4480;5772;7511;4539;3479;8792;8949;9350;9325;9444;10367;13466;12833;10339;15347;14091;4184;4283;5519;7044;4314;2918;7511;8017;8875;9697;9745;10423;13527;12874;10602;16492;19845
31.12.2019;6531;Gießen, Landkreis;4030;3829;4582;5840;3657;3022;11186;11250;10051;8550;7323;7704;9822;10181;8466;12497;11195;3711;3661;4402;5526;3443;3073;12287;10656;8973;7899;7377;7930;9982;10457;8929;13646;15551
31.12.2019;6532;Lahn-Dill-Kreis;3604;3612;4603;6133;3766;2693;7322;7506;7757;7458;7204;7901;10673;10755;8945;12934;12037;3375;3457;4337;5574;3563;2460;6336;6858;7313;7326;7349;8264;10635;10775;9100;14267;17427
31.12.2019;6533;Limburg-Weilburg, Landkreis;2342;2360;3028;4183;2730;1906;5049;5094;5259;5162;4916;5532;7319;7538;6172;9010;7819;2289;2204;2988;3826;2595;1812;4154;4519;4875;4963;4934;5525;7440;7420;6247;9605;11097
31.12.2019;6534;Marburg-Biedenkopf, Landkreis;3306;3385;4334;5613;3580;2921;9832;9559;8472;7406;6986;7404;9395;9660;7937;11510;10319;3120;3233;4133;5385;3337;3131;10641;8916;7696;7233;6789;7616;9237;9665;8139;12381;14813
31.12.2019;6535;Vogelsbergkreis;1290;1293;1784;2281;1502;1088;2876;2882;2967;2977;2890;3391;4397;4868;4513;6344;5518;1254;1269;1653;2195;1421;944;2269;2374;2670;2820;2903;3395;4313;4827;4360;6385;7730
31.12.2019;6611;Kassel, kreisfreie Stadt;3156;2867;3624;4401;2623;2107;8073;9374;8684;6798;5441;5684;7007;6969;5821;8541;8149;2974;2835;3198;4061;2470;2114;8092;8441;7028;6061;5592;6085;7326;7349;6229;10140;12823
31.12.2019;6631;Fulda, Landkreis;3263;3248;4115;5224;3493;2532;7070;7513;7195;6734;6240;7133;9234;9061;7588;10604;10535;3033;3126;3944;5004;3267;2442;6403;6676;6519;6444;6215;7320;8979;8972;7600;11469;14950
31.12.2019;6632;Hersfeld-Rotenburg, Landkreis;1648;1715;2167;2845;1701;1256;3399;3534;3612;3470;3329;3957;4996;5195;4454;6796;6438;1518;1630;1956;2645;1706;1119;2688;2931;3290;3209;3173;3908;4828;5099;4436;7237;8834
31.12.2019;6633;Kassel, Landkreis;3147;3276;4222;5172;3290;2497;6059;6047;6512;6603;6288;7609;10216;10082;8611;13446;13076;3054;2981;3828;5046;3177;2208;5091;5565;6313;6641;6623;7737;10387;10253;8882;14836;17989
31.12.2019;6634;Schwalm-Eder-Kreis;2272;2377;3176;4044;2625;1919;4945;5140;5326;5328;5119;5896;7796;8128;6769;10180;8901;2159;2288;3030;3787;2422;1669;3987;4322;4807;4988;5001;5856;7577;7783;6846;10457;12753
31.12.2019;6635;Waldeck-Frankenberg, Landkreis;2109;2164;2727;3710;2388;1724;4400;4542;4613;4446;4144;4853;6727;7074;5845;8549;7886;1975;2032;2648;3436;2242;1515;3552;3852;3913;4139;4409;5134;6565;6924;5936;8895;11338
31.12.2019;6636;Werra-Meißner-Kreis;1319;1283;1636;2056;1444;1007;3034;2869;2789;2663;2578;3106;4129;4451;3886;5981;5625;1161;1156;1576;2022;1326;892;2358;2460;2561;2599;2589;3179;4185;4411;3911;6363;8024
31.12.2019;7111;Koblenz, kreisfreie Stadt;1643;1486;1888;2248;1405;1129;4240;5160;4714;3845;3152;3137;3944;3979;3300;5106;5378;1499;1474;1758;2123;1235;1140;4580;4701;4160;3473;3070;3120;4026;4003;3586;6073;8277
31.12.2019;7131;Ahrweiler, Landkreis;1854;1750;2197;2739;1781;1371;3653;3647;3690;3595;3352;3721;5494;5838;4887;7230;7234;1674;1680;2149;2592;1657;1243;3063;3398;3432;3505;3500;4011;5689;5731;4892;7714;10123
31.12.2019;7132;Altenkirchen (Westerwald), Landkreis;1865;1851;2367;3012;1851;1392;3676;3872;3786;3710;3540;4060;5510;5714;4817;6792;6067;1736;1699;2241;2871;1772;1247;3122;3457;3561;3656;3498;4109;5386;5641;4735;7333;8859
31.12.2019;7133;Bad Kreuznach, Landkreis;2208;2163;2895;3658;2257;1697;4088;4377;4619;4443;4208;4822;6642;6884;5698;8864;7864;2163;2154;2692;3385;2195;1512;3676;4109;4464;4521;4494;5076;6668;7033;6112;9668;11036
31.12.2019;7134;Birkenfeld, Landkreis;1186;1076;1321;1766;1154;943;2211;2395;2474;2292;2122;2369;3168;3590;3211;4639;4194;1086;1078;1275;1667;1047;825;1898;2104;2124;2154;2054;2450;3279;3564;3314;4965;5956
31.12.2019;7135;Cochem-Zell, Landkreis;780;746;1001;1361;861;733;1601;1753;1799;1681;1568;1899;2724;2915;2442;3641;3255;729;732;879;1241;877;567;1346;1436;1594;1556;1576;1972;2660;2797;2376;3600;4677
31.12.2019;7137;Mayen-Koblenz, Landkreis;3092;3115;3815;4794;3121;2267;5870;6379;6636;6488;6048;6597;9143;9237;7892;11377;10018;2903;3034;3645;4669;2945;2123;5193;5645;6322;6462;6143;6719;9170;9338;7982;12170;14082
31.12.2019;7138;Neuwied, Landkreis;2734;2681;3409;4334;2804;2044;5043;5379;5371;5160;4908;5517;7695;7942;6727;9679;8677;2611;2502;3197;4154;2694;1835;4516;4809;5093;5214;5047;5723;7754;8065;6866;10193;12434
31.12.2019;7140;Rhein-Hunsrück-Kreis;1474;1458;1741;2366;1536;1135;2737;2959;3094;2998;2833;3221;4386;4559;4096;5886;4900;1308;1391;1716;2126;1488;1032;2209;2562;2829;2972;2824;3305;4372;4734;3906;5991;7019
31.12.2019;7141;Rhein-Lahn-Kreis;1621;1704;2077;2765;1736;1237;3200;3302;3590;3523;3442;3911;5194;5451;4631;6943;6190;1591;1691;2031;2631;1622;1174;2696;3077;3355;3501;3390;3870;5210;5470;4729;7428;8314
31.12.2019;7143;Westerwaldkreis;2833;2996;3662;4840;3173;2119;5334;5905;6214;6068;5712;6619;8893;9134;7347;10471;8919;2674;2794;3530;4534;2971;1993;4683;5246;5964;5967;5761;6744;8675;8892;7350;10996;12891
31.12.2019;7211;Trier, kreisfreie Stadt;1537;1510;1744;2300;1359;1276;5145;5659;4918;4007;3300;3199;3971;3716;3181;4273;3958;1361;1347;1660;1976;1207;1302;5532;5265;4439;3764;3074;3058;3748;3800;3367;4988;6587
31.12.2019;7231;Bernkastel-Wittlich, Landkreis;1569;1644;2015;2451;1622;1145;2971;3234;3365;3319;3213;3739;4770;5090;4208;6516;5452;1499;1504;1848;2448;1592;1061;2514;2856;3010;3203;3119;3579;4580;4995;4241;6348;7763
31.12.2019;7232;Eifelkreis Bitburg-Prüm;1507;1505;1859;2379;1498;1066;2757;3170;3066;3166;2830;3099;4283;4505;3720;5215;4244;1433;1381;1690;2172;1366;949;2294;2851;2934;2935;2714;3145;4122;4341;3626;5128;6108
31.12.2019;7233;Vulkaneifel, Landkreis;765;768;1010;1328;876;614;1654;1763;1819;1580;1636;1773;2543;2789;2542;3705;3276;679;754;973;1236;844;584;1357;1464;1543;1602;1623;1848;2519;2744;2429;3619;4387
31.12.2019;7235;Trier-Saarburg, Landkreis;2057;2206;2818;3704;2166;1577;3782;4078;4344;4724;4502;4931;6694;6608;5494;7778;6415;2024;2143;2759;3456;2141;1361;3209;3778;4388;4748;4658;5055;6480;6512;5468;7904;9436
31.12.2019;7311;Frankenthal (Pfalz), kreisfreie Stadt;766;785;954;1102;690;533;1341;1555;1575;1521;1487;1460;1881;1831;1576;2143;2503;708;733;853;1047;661;429;1218;1493;1595;1516;1411;1490;1849;1845;1698;2753;3760
31.12.2019;7312;Kaiserslautern, kreisfreie Stadt;1458;1357;1582;2013;1222;1065;5007;5555;4105;3006;2541;2655;3503;3709;3079;4426;4220;1451;1250;1490;1865;1172;980;3764;3859;3170;2844;2576;2747;3460;3763;3346;5311;6479
31.12.2019;7313;Landau in der Pfalz, kreisfreie Stadt;674;646;734;955;579;492;1780;1935;1635;1393;1214;1365;1767;1771;1472;1980;1882;578;573;745;966;541;606;2802;1896;1565;1305;1186;1417;1844;1810;1512;2337;2924
31.12.2019;7314;Ludwigshafen am Rhein, kreisfreie Stadt;3034;2856;3549;4293;2626;1739;5675;6454;6619;6034;5544;5688;6816;6505;5032;6902;7120;2785;2881;3332;3992;2333;1727;5062;5756;5854;5520;5216;5379;6321;6130;5098;8093;10288
31.12.2019;7315;Mainz, kreisfreie Stadt;3169;2966;3636;4440;2623;2083;9002;10715;10085;8196;6613;6395;7509;6818;5493;8245;8399;3086;2752;3310;3930;2304;2226;10826;11320;9678;7889;6459;6307;7253;7030;6054;9615;12152
31.12.2019;7316;Neustadt an der Weinstraße, kreisfreie Stadt;722;797;920;1161;742;551;1304;1598;1732;1517;1314;1559;2160;2254;2010;2783;2901;757;723;890;1072;727;485;1186;1469;1507;1459;1336;1583;2203;2364;2040;3156;4282
31.12.2019;7317;Pirmasens, kreisfreie Stadt;508;599;676;890;521;386;1189;1259;1240;1051;1031;1131;1568;1664;1570;2226;2176;508;516;619;797;512;376;1093;1102;1102;981;1017;1160;1497;1795;1503;2490;3478
31.12.2019;7318;Speyer, kreisfreie Stadt;718;708;925;1143;715;528;1336;1500;1651;1499;1421;1557;2045;2109;1744;2513;2343;656;627;853;1059;695;528;1229;1442;1499;1489;1482;1652;2102;2150;1898;3018;3727
31.12.2019;7319;Worms, kreisfreie Stadt;1323;1297;1587;2010;1203;877;2848;3041;2748;2584;2559;2624;3214;3225;2763;3867;3468;1297;1214;1520;1897;1140;858;2491;2656;2557;2527;2492;2590;3030;3214;2974;4513;5334
31.12.2019;7320;Zweibrücken, kreisfreie Stadt;479;434;571;739;497;360;1026;1223;1262;1095;962;991;1261;1359;1195;1771;1718;410;461;590;709;436;348;870;992;1045;983;926;945;1265;1419;1330;2007;2514
31.12.2019;7331;Alzey-Worms, Landkreis;1895;1900;2502;3031;2018;1440;3500;3595;3956;4080;3804;4229;5572;5749;5014;7034;5163;1904;1927;2324;2896;1841;1361;2998;3182;3806;3860;3861;4191;5717;5899;5101;7122;7215
